世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
461,贝尔格拉诺大学,阿根廷,25.5,9.4,17.4,1,89.8
465,埃克塞斯大学,英国,25.4,16.2,8,28.1,12.3
465,智利圣地亚哥大学,智利,25.4,41,58.1,4.9,8.3
467,国立科技大学,俄罗斯,25.3,8.2,9.9,13.7,74.2
467,哈瓦那大学,古巴,25.3,20.3,25.5,1.6,69.4
467,阿拉斯加大学费尔班克斯分校,美国,25.3,3.1,3.7,16.2,99.6
467,University of Iowa,美国,25.3,20.7,13.3,24.4,48.2
471,都柏林城市大学,爱尔兰,25.2,19.1,32.4,16.4,31.3
471,杜兰大学,美国,25.2,9.5,4.2,11.4,86.7
473,塞浦路斯大学,塞浦路斯,25.1,9,3.1,71.7,5.1
473,萨斯喀彻温大学,加拿大,25.1,12,11.7,42.5,21.9
475,长庚大学,中国台湾,25,4.8,4.9,40.5,69.4
475,都灵大学,意大利,25,37.5,6.5,39.8,3.3
477,达曼大学,沙特阿拉伯,24.9,5.8,3.7,2,81.8
477,科什大学,土耳其,24.9,20.4,36.3,23.4,31.2
477,哈勒-维滕贝格大学,德国,24.9,14.6,4.5,5.7,83.9
477,圣保罗州立大学,巴西,24.9,37,23.5,16.8,19.1
481,邦德大学,澳大利亚,24.8,4.4,6.3,16.4,45.8
481,东国大学,韩国,24.8,8.5,9.9,7.6,85.8
481,爱荷华州立大学,美国,24.8,19.4,13.9,65.8,7.9
481,哈萨克斯坦国家农业大学,哈萨克斯坦,24.8,14.7,13.8,1.1,73.5
481,马来西亚北方大学,马来西亚,24.8,19.4,23.3,6.1,42.6
486,奥克兰理工大学,新西兰,24.7,19.1,14.6,17.9,9.5
486,阿尔卑斯 - 亚德里亚安大学克拉根福,奥地利,24.7,4.3,2.9,11.4,56.6
488,亚洲大学,韩国,24.6,13.3,12.1,13.5,70
488,马德里理工大学,西班牙,24.6,30.8,50.1,10.8,17.4
490,马赛大学,法国,24.5,36,3.5,28.8,9.1
490,本·古里安大学,以色列,24.5,14.6,11.7,53,12.8
490,千叶大学,日本,24.5,16,6.7,11.1,71.8
490,吉森大学,德国,24.5,12.3,8.1,85.5,1.8
494,韩国加图立大学,韩国,24.4,4.7,2.5,9.8,98.5
494,乌拉圭大学,乌拉圭,24.4,11.7,16.3,1.2,83.2
494,格拉纳达大学,西班牙,24.4,42.1,7.8,21.7,6.4
497,布兰迪斯大学,美国,24.3,9.6,3.8,22.3,55.7
497,吉林大学,中国大陆,24.3,13.5,44.5,25.8,42
499,中南大学,中国大陆,24.2,7.3,2,96.3,5.5
499,罗马第二大学,意大利,24.2,31.6,12.6,34.3,6.8
